REASON,YEAR,AUTHOR,TITLE,JOURNAL,ISSN,PAGES,ISSUE,VOL,Y/N,NOTES,
,2021,"Wang, Weilan; Nettleton, Jodi E.; Gänzle, Michael G.; Reimer, Raylene A.",A Metagenomics Investigation of Intergenerational Effects of Non-nutritive Sweeteners on Gut Microbiome,Frontiers in Nutrition,2296-861X,795848,,8,Studies that met inclusion criteria and were included in analysis,,
,2021,"Zhao, Feng; Guan, Suzhen; Fu, Youjuan; Wang, Kai; Liu, Zhihong; Ng, Tzi Bun",Lycium barbarum polysaccharide attenuates emotional injury of offspring elicited by prenatal chronic stress in rats via regulation of gut microbiota,Biomedicine & Pharmacotherapy = Biomedecine & Pharmacotherapie,1950-6007,112087,,143,Studies that met inclusion criteria and were included in analysis,,
,2022,"Abdelhafiz, Yousri; Fernandes, Jorge M. O.; Donati, Claudio; Pindo, Massimo; Kiron, Viswanath",Intergenerational Transfer of Persistent Bacterial Communities in Female Nile Tilapia,Frontiers in Microbiology,,879990,,13,Studies that met inclusion criteria and were included in analysis,,
,2022,"Abu, Yaa; Tao, Junyi; Dutta, Rajib; Yan, Yan; Vitari, Nicolas; Kolli, Udhghatri; Roy, Sabita",Brief Hydromorphone Exposure During Pregnancy Sufficient to Induce Maternal and Neonatal Microbial Dysbiosis,Journal of Neuroimmune Pharmacology,1557-1890,,,,Studies that met inclusion criteria and were included in analysis,,
,2022,"Baldassarre, Laura; Ying, Hua; Reitzel, Adam; Franzenburgq, Soren; Fraune, Sebastian",Microbiota mediated plasticity promotes thermal adaptation in the sea anemone Nematostella vectensis,Nature Communications,,3804,1,13,Studies that met inclusion criteria and were included in analysis,Fantastic paper!,
,2022,"Di Gesu, Claudia M.; Matz, Lisa M.; Bolding, Ian J.; Fultz, Robert; Hoffman, Kristi L.; Gammazza, Antonella Marino; Petrosino, Joseph F.; Buffington, Shelly A.",Maternal gut microbiota mediate intergenerational effects of high-fat diet on descendant social behavior,Cell Reports,2211-1247,111461,2,41,Studies that met inclusion criteria and were included in analysis,,
,2022,"Giraud, Carolane; Callac, Nolwenn; Boulo, Viviane; Lam, Jean-Sebastien; Pham, Dominique; Selmaoui-Folcher, Nazha; Wabete, Nelly",The Active Microbiota of the Eggs and the Nauplii of the Pacific Blue Shrimp Litopenaeus stylirostris Partially Shaped by a Potential Vertical Transmission,Frontiers in Microbiology,,886752,,13,Studies that met inclusion criteria and were included in analysis,,
,2022,"Li, Dan-Dan; Li, Jin-Yang; Hu, Zu-Qing; Liu, Tong-Xian; Zhang, Shi-Ze","Fall Armyworm Gut Bacterial Diversity Associated with Different Developmental Stages, Environmental Habitats, and Diets",Insects,2075-4450,762,9,13,Studies that met inclusion criteria and were included in analysis,,
,2022,"Li, Teng; Yang, Yang; Li, Huijun; Li, Chunkai",Mixed-Mode Bacterial Transmission via Eggshells in an Oviparous Reptile Without Parental Care,Frontiers in Microbiology,1664-302X,911416,,13,Studies that met inclusion criteria and were included in analysis,,
,2022,"Unzueta-Martínez, Andrea; Scanes, Elliot; Parker, Laura M.; Ross, Pauline M.; O’Connor, Wayne; Bowen, Jennifer L.",Microbiomes of the Sydney Rock Oyster are acquired through both vertical and horizontal transmission,Animal Microbiome,2524-4671,32,1,4,Studies that met inclusion criteria and were included in analysis,,
,2022,"van Veelen, H. Pieter J.; Salles, Joana Falcão; Matson, Kevin D.; van Doorn, G. Sander; van der Velde, Marco; Tieleman, B. Irene",The microbial environment modulates non-genetic maternal effects on egg immunity,Animal Microbiome,2524-4671,44,1,4,Studies that met inclusion criteria and were included in analysis,,
,2022,"Wei, Yan; Chang, Lijia; Liu, Guoqi; Wang, Xingming; Yang, Yong; Hashimoto, Kenji",Long-lasting beneficial effects of maternal intake of sulforaphane glucosinolate on gut microbiota in adult offspring,Journal of Nutritional Biochemistry,0955-2863,109098,,109,Studies that met inclusion criteria and were included in analysis,,
,2022,"Woodruff, Kelly L.; Hummel, Gwendolynn L.; Austin, Kathleen J.; Lake, Scott L.; Cunningham-Hollinger, Hannah C.",Calf rumen microbiome from birth to weaning and shared microbial properties to the maternal rumen microbiome,Journal of Animal Science,0021-8812,skac264,10,100,Studies that met inclusion criteria and were included in analysis,,
,2022,"Xue, Cunxi; Xie, Qinyuan; Zhang, Chenhong; Hu, Yimeng; Song, Xiaoting; Jia, Yifan; Shi, Xiaoyang; Chen, Yiqi; Liu, Yalei; Zhao, Lingyun; Huang, Fenglian; Yuan, Huijuan",Vertical transmission of the gut microbiota influences glucose metabolism in offspring of mice with hyperglycaemia in pregnancy,Microbiome,2049-2618,122,1,10,Studies that met inclusion criteria and were included in analysis,,
,2022,"Yao, Zheng-Yu; Li, Xiao-Huan; Zuo, Li; Xiong, Qian; He, Wen-Ting; Li, Dong-Xu; Dong, Zhi-Fang",Maternal sleep deprivation induces gut microbial dysbiosis and neuroinflammation in offspring rats,Zoological Research,2095-8137,380-390,3,43,Studies that met inclusion criteria and were included in analysis,,
,2022,"Zhao, Jidong; Lu, Wei; Huang, Shuli; Le Maho, Yvon; Habold, Caroline; Zhang, Zhibin","Impacts of Dietary Protein and Niacin Deficiency on Reproduction Performance, Body Growth, and Gut Microbiota of Female Hamsters (Tscherskia triton) and Their Offspring",Microbiology Spectrum,2165-0497,,,,Studies that met inclusion criteria and were included in analysis,,
,2022,"Grzeskowiak, Lukasz; Saliu, Eva-Maria; Martinez-Vallespin, Beatriz; Wessels, Anna Grete; Manner, Klaus; Vahjen, Wilfried; Zentek, Juergen",Fiber Composition in Sows' Diets Modifies Clostridioides difficile Colonization in Their Offspring,Current Microbiology,0343-8651,154,5,79,Studies that met inclusion criteria and were included in analysis,,
,2022,"Qi, Yuli; Yu, Leilei; Tian, Fengwei; Zhao, Jianxin; Zhang, Hao; Chen, Wei; Zhai, Qixiao",A. muciniphila Supplementation in Mice during Pregnancy and Lactation Affects the Maternal Intestinal Microenvironment,Nutrients,,390,2,14,Studies that met inclusion criteria and were included in analysis,,
,2022,"Wang, Cheng; Wei, Siyu; Liu, Bojing; Wang, Fengqin; Lu, Zeqing; Jin, Mingliang; Wang, Yizhen",Maternal consumption of a fermented diet protects offspring against intestinal inflammation by regulating the gut microbiota,Gut Microbes,1949-0976,2057779,1,14,Studies that met inclusion criteria and were included in analysis,,
,2022,"Zhao, Feng; Wang, Kai; Wen, Yujun; Chen, Xiaohui; Liu, Hongya; Qi, Faqiu; Fu, Youjuan; Zhu, Jiashu; Guan, Suzhen; Liu, Zhihong",Contribution of hippocampal BDNF/CREB signaling pathway and gut microbiota to emotional behavior impairment induced by chronic unpredictable mild stress during pregnancy in rats offspring,PeerJ,2167-8359,e13605,,10,Studies that met inclusion criteria and were included in analysis,,
,2010,"Friswell, Melissa K.; Gika, Helen; Stratford, Ian J.; Theodoridis, Georgios; Telfer, Brian; Wilson, Ian D.; McBain, Andrew J.",Site and Strain-Specific Variation in Gut Microbiota Profiles and Metabolism in Experimental Mice,Plos One,1932-6203,e8584,1,5,Studies that met inclusion criteria and were included in analysis,,
,2012,"Toenshoff, Elena R.; Gruber, Daniela; Horn, Matthias",Co-evolution and symbiont replacement shaped the symbiosis between adelgids (Hemiptera: Adelgidae) and their bacterial symbionts,Environmental Microbiology,1462-2912,1284-1295,5,14,Studies that met inclusion criteria and were included in analysis,,
,2013,"Starke, I. C.; Pieper, R.; Neumann, K.; Zentek, J.; Vahjen, W.",Individual responses of mother sows to a probiotic Enterococcus faecium strain lead to different microbiota composition in their offspring,Beneficial Microbes,1876-2883,345-356,4,4,Studies that met inclusion criteria and were included in analysis,,
,2018,"van Veelen, H. P. J., Salles, J. F., & Tieleman, B. I.",Microbiome assembly of avian eggshells and their potential as transgenerational carriers of maternal microbiota,,,,,,Studies that met inclusion criteria and were included in analysis,,
,2018,"Alipour, M.J., Jalanka, J., Pessa-Morikawa, T. et al. ",The composition of the perinatal intestinal microbiota in cattle,Scientific Reports,,,,,Studies that met inclusion criteria and were included in analysis,,
,2019,"Klein-Jöbstl, Daniela, Narciso M. Quijada, Monika Dzieciol, Benjamin Feldbacher, Martin Wagner, Marc Drillich, Stephan Schmitz-Esser, and Evelyne Mann",Microbiota of newborn calves and their mothers reveals possible transfer routes for newborn calves’ gastrointestinal microbiota,Plos One,,,,,Studies that met inclusion criteria and were included in analysis,,
,2022,"Harshaw, Christopher; Kojima, Sayuri; Wellman, Cara L.; Demas, Gregory E.; Morrow, Ardythe L.; Taft, Diana Hazard; Kenkel, William M.; Leffel, Joseph K.; Alberts, Jeffrey R.","Maternal antibiotics disrupt microbiome, behavior, and temperature regulation in unexposed infant mice",Developmental Psychobiology,0012-1630,e22289,6,64,Studies that met inclusion criteria and were included in analysis,,
,2010,"Bosi, P.; Trevisi, P.",New topics and limits related to the use of beneficial microbes in pig feeding,Beneficial Microbes,1876-2883,447-454,4,1,Studies that did not meet inclusion criteria,,
,2010,"Prescott, Susan L.",Allergic disease: understanding how in utero events set the scene,Proceedings of the Nutrition Society,0029-6651,366-372,3,69,Studies that did not meet inclusion criteria,,
,2010,"Turelli, Michael",CYTOPLASMIC INCOMPATIBILITY IN POPULATIONS WITH OVERLAPPING GENERATIONS,Evolution,0014-3820,232-241,1,64,Studies that did not meet inclusion criteria,Model development,
,2011,"Siggers, Richard H.; Siggers, Jayda; Thymann, Thomas; Boye, Mette; Sangild, Per T.",Nutritional modulation of the gut microbiota and immune system in preterm neonates susceptible to necrotizing enterocolitis,Journal of Nutritional Biochemistry,0955-2863,511-521,6,22,Studies that did not meet inclusion criteria,,
,2011,"Robertson, Sarah A.; Chin, Peck Yin; Glynn, Danielle J.; Thompson, Jeremy G.","Peri-Conceptual Cytokines - Setting the Trajectory for Embryo Implantation, Pregnancy and Beyond",American Journal of Reproductive Immunology,1046-7408,2-10,"Suppl. 1, Sp. Iss. SI",66,Studies that did not meet inclusion criteria,,
,2013,"Guruprasad, N. M.; Jalali, S. K.; Puttaraju, H. P.",Wolbachia - boon or bane for insects?,Journal of Entomological Research (New Delhi),0378-9519,351-358,4,37,Studies that did not meet inclusion criteria,,
,2013,"Su, Qi; Zhou, Xiaomao; Zhang, Youjun",Symbiont-mediated functions in insect hosts.,Communicative & Integrative Biology,,e23804,3,6,Studies that did not meet inclusion criteria,,
,2014,"Wade, Michael J.",Paradox of Mother's Curse and the Maternally Provisioned Offspring Microbiome,Cold Spring Harbor Perspectives in Biology,1943-0264,a017541,10,6,Studies that did not meet inclusion criteria,Model development,
,2015,"Liang, Guanxiang; Malmuthuge, Nilusha; Guan, Le Luo; Griebel, Philip",Model systems to analyze the role of miRNAs and commensal microflora in bovine mucosal immune system development,Molecular Immunology,0161-5890,57-67,"1, Sp. Iss. SI",66,Studies that did not meet inclusion criteria,,
,2015,"Brent, Robert L.",PROTECTION OF THE GAMETES EMBRYO/FETUS FROM PRENATAL RADIATION EXPOSURE,Health Physics,0017-9078,242-274,2,108,Studies that did not meet inclusion criteria,,
,2015,"Felice, Valeria D.; Moloney, Rachel D.; Cryan, John F.; Dinan, Timothy G.; O'Mahony, Siobhain M.",Visceral Pain and Psychiatric Disorders,Pain in Psychiatric Disorders,,103-119,,30,Studies that did not meet inclusion criteria,,
,2015,"Gotoh, Takafumi",Potential of the application of epigenetics in animal production,Animal Production Science,1836-0939,145-158,2,55,Studies that did not meet inclusion criteria,,
,2015,"Houghteling, Pearl D.; Walker, W. Allan","From Birth to ""Immunohealth,"" Allergies and Enterocolitis",Journal of Clinical Gastroenterology,0192-0790,S7-S12,,49,Studies that did not meet inclusion criteria,,
,2015,"Le Huerou-Luron, I.; Ferret-Bernard, S.",Development of gut and gut-associated lymphoid tissues in piglets: role of maternal environment,,,,,,Studies that did not meet inclusion criteria,,
,2015,"Rodino-Janeiro, Bruno K.; Alonso-Cotoner, Carmen; Pigrau, Marc; Lobo, Beatriz; Vicario, Maria; Santos, Javier",Role of Corticotropin-releasing Factor in Gastrointestinal Permeability,Journal of Neurogastroenterology and Motility,2093-0879,33-50,1,21,Studies that did not meet inclusion criteria,,
,2015,"Zhang, Shicui; Dong, Yuan; Cui, Pengfei",Vitellogenin is an immunocompetent molecule for mother and offspring in fish,Fish & Shellfish Immunology,1050-4648,710-715,2,46,Studies that did not meet inclusion criteria,,
,2016,"Wallace, J. G.; Gohir, W.; Sloboda, D. M.",The impact of early life gut colonization on metabolic and obesogenic outcomes: what have animal models shown us?,Journal of Developmental Origins of Health and Disease,2040-1744,15-24,1,7,Studies that did not meet inclusion criteria,,
,2016,"Konat, Gregory",Cerebral Response to Peripheral Challenge with a Viral Mimetic,Neurochemical Research,0364-3190,144-155,1-2,41,Studies that did not meet inclusion criteria,,
,2017,"Chu, Derrick M.; Meyer, Kristen M.; Prince, Amanda L.; Aagaard, Kjersti M.","Impact of maternal nutrition in pregnancy and lactation on offspring gut microbial composition and function (vol 7, pg 459, 2016)",Gut Microbes,1949-0976,,"2, Sp. Iss. SI",8,Studies that did not meet inclusion criteria,,
,2017,"Ganal-Vonarburg, Stephanie C.; Fuhrer, Tobias; de Agueero, Mercedes Gomez",Maternal microbiota and antibodies as advocates of neonatal health,Gut Microbes,1949-0976,479-485,5,8,Studies that did not meet inclusion criteria,,
,2017,"Li, Hongyan; Zhang, Shicui",Functions of Vitellogenin in Eggs,Oocytes: Maternal Information and Functions,,389-401,,63,Studies that did not meet inclusion criteria,,
,2017,"Cools, Piet",The role of Escherichia coli in reproductive health: state of the art,Research in Microbiology,0923-2508,892-901,9-10,168,Studies that did not meet inclusion criteria,,
,2017,"van de Wijgert, Janneke H. H. M.; Jespers, Vicky",The global health impact of vaginal dysbiosis,Research in Microbiology,0923-2508,859-864,9-10,168,Studies that did not meet inclusion criteria,,
,2017,"Dhama, Kuldeep; Kumar, Naveen; Saminathan, Mani; Tiwari, Ruchi; Karthik, Kumaragurubaran; Kumar, M. Asok; Palanivelu, M.; Shabbir, Muhammad Zubair; Malik, Yashpal Singh; Singh, Raj Kumar",Duck virus enteritis (duck plague) - a comprehensive update,Veterinary Quarterly,0165-2176,57-80,1,37,Studies that did not meet inclusion criteria,,
,2017,"Kurtz, Joachim; Armitage, Sophie A. O.",Dissecting the dynamics of trans-generational immune priming.,Molecular Ecology,0962-1083,3857-3859,15,26,Studies that did not meet inclusion criteria,,
,2017,"O'Doherty, J. V.; Bouwhuis, M. A.; Sweeney, T.",Novel marine polysaccharides and maternal nutrition to stimulate gut health and performance in post-weaned pigs,Animal Production Science,1836-0939,2376-2385,12,57,Studies that did not meet inclusion criteria,,
,2018,"Osmanovic, Dino; Kessler, David A.; Rabin, Yitzhak; Soen, Yoav",Darwinian selection of host and bacteria supports emergence of Lamarckian-like adaptation of the system as a whole,Biology Direct,,24,,13,Studies that did not meet inclusion criteria,Model development,
,2018,"Osman, Rahwa; Malmuthuge, Nilusha; Gonzalez-Cano, Patricia; Griebel, Philip",Development and Function of the Mucosal Immune System in the Upper Respiratory Tract of Neonatal Calves,"Annual Review of Animal Biosciences, Vol 6",,141-155,,6,Studies that did not meet inclusion criteria,,
,2018,"Needham, Brittany D.; Tang, Weiyi; Wu, Wei-Li",Searching for the gut microbial contributing factors to social behavior in rodent models of autism spectrum disorder,Developmental Neurobiology,1932-8451,474-499,5,78,Studies that did not meet inclusion criteria,,
,2018,"Prins, Jelmer R.; Eskandar, Sharon; Eggen, Bart J. L.; Scherjon, Sicco A.","Microglia, the missing link in maternal immune activation and fetal neurodevelopment; and a possible link in preeclampsia and disturbed neurodevelopment?",Journal of Reproductive Immunology,0165-0378,18-22,,126,Studies that did not meet inclusion criteria,,
